Theme,Context,Selector,Property,Value
editorial,preview-prod,.teinvit-canvas,inline.styleMarginBottom,
editorial,preview-prod,.inv-names,computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.inv-names,computed.fontSize,30.1875px
editorial,preview-prod,.inv-names,computed.lineHeight,37.7344px
editorial,preview-prod,.inv-names,computed.letterSpacing,normal
editorial,preview-prod,.inv-names,computed.textTransform,none
editorial,preview-prod,.inv-names,computed.marginTop,0px
editorial,preview-prod,.inv-names,computed.marginBottom,36.225px
editorial,preview-prod,.inv-names,computed.paddingTop,0px
editorial,preview-prod,.inv-names,computed.paddingBottom,0px
editorial,preview-prod,.inv-names,geometry.x,0
editorial,preview-prod,.inv-names,geometry.y,0
editorial,preview-prod,.inv-names,geometry.width,0
editorial,preview-prod,.inv-names,geometry.height,0
editorial,preview-prod,.inv-names,geometry.clientWidth,0
editorial,preview-prod,.inv-names,geometry.clientHeight,0
editorial,preview-prod,.inv-names,geometry.scrollWidth,0
editorial,preview-prod,.inv-names,geometry.scrollHeight,0
editorial,preview-prod,.inv-names,inline.styleAttr,white-space: pre-line; display: none;
editorial,preview-prod,.inv-names,inline.styleFontSize,
editorial,preview-prod,.inv-names,inline.styleMarginTop,
editorial,preview-prod,.inv-names,inline.styleMarginBottom,
editorial,preview-prod,.inv-names,wrap.lineCount,0
editorial,preview-prod,.inv-names,wrap.textContentTrim,
editorial,preview-prod,.inv-message,computed.fontFamily,"""Playfair Display"", serif"
editorial,preview-prod,.inv-message,computed.fontSize,15.18px
editorial,preview-prod,.inv-message,computed.lineHeight,22.77px
editorial,preview-prod,.inv-message,computed.letterSpacing,normal
